muni,count,lon,lat
01001,4,-102.2958029,21.81143623
01002,1,-102.04563807,22.12650816
01005,1,-102.44564926,21.93211751
01007,1,-102.34072873,22.26740775
02001,13,-114.9572143,30.03650955
02002,16,-115.16622899,31.74174431
02003,4,-116.26897518,32.44088868
02004,31,-116.81997003,32.40407195
02005,6,-116.89073979,32.25294193
04002,2,-90.26764808,19.61701765
04003,9,-91.48322871,18.52404216
04004,2,-90.4993197,19.13421881
04006,1,-89.60964397,19.47407174
04011,1,-90.7165644,18.09903851
05002,5,-102.01002665,29.43260232
05006,1,-101.38692515,26.58623862
05009,1,-103.18085741,26.32014576
05010,2,-101.52827288,26.94769788
05014,1,-100.95126406,29.00270229
05017,6,-103.21506369,25.55982485
05018,4,-101.19439395,26.89685679
05020,1,-101.9004663,28.40301796
05022,1,-100.62048865,28.49643866
05024,1,-102.11466803,25.50387172
05025,7,-100.61446971,28.7798203
05027,6,-101.28206527,25.9137476
05028,2,-101.14300065,27.92287166
05030,13,-101.1251087,25.02914759
05033,1,-102.71799722,26.08404224
05035,15,-103.24891934,25.17007521
05036,1,-102.92496831,25.22186896
05038,3,-101.39501145,28.81197417
06002,9,-103.63266776,19.11609609
06003,2,-103.76999414,19.39344345
06004,4,-103.92075282,19.18812918
06005,2,-103.59549864,19.32684376
06006,1,-103.68134529,18.9676148
06007,16,-104.29979865,19.14949701
06009,6,-105.03221063,18.86423254
06010,7,-103.84442665,19.30960166
07003,1,-92.77402483,15.23141447
07009,1,-93.93736053,16.2488839
07012,1,-93.3190748,16.86660665
07013,1,-92.95879022,17.01412276
07015,1,-92.16413446,15.08624107
07016,2,-91.99760375,17.77987128
07017,2,-93.86747176,16.71296265
07019,1,-92.17897404,16.29688357
07020,1,-92.77124298,15.96089493
07022,2,-92.61180176,17.02127055
07023,3,-92.68016909,16.81936583
07024,2,-92.21697044,16.61153322
07026,2,-92.57043516,16.95015717
07027,4,-92.97604928,16.60663508
07030,1,-92.39128986,15.79903225
07031,3,-92.03514187,17.10969122
07032,1,-92.55816843,15.36443247
07034,2,-92.08776684,15.76265142
07037,2,-92.42377328,15.00940399
07040,1,-92.5468543,15.09698587
07046,1,-93.67207618,16.52273562
07047,1,-92.87430856,17.08951414
07048,1,-93.19333536,17.69944721
07051,1,-92.89163518,15.46101209
07052,3,-91.74028292,16.38560263
07059,3,-91.33749873,16.70209387
07061,3,-93.49094584,16.82629461
07062,3,-93.39956964,17.43241532
07065,5,-91.81265557,17.4440756
07066,2,-92.4640654,17.06010348
07069,2,-93.19240132,15.66955613
07071,1,-92.61956647,15.16542249
07072,3,-92.86173804,17.21802969
07074,2,-93.22938058,17.86422331
07078,12,-92.58994606,16.67829711
07079,1,-93.20967827,16.91313319
07085,1,-92.98867457,16.92596894
07087,7,-92.22712117,14.63938353
07089,14,-92.30479679,14.93396804
07092,2,-93.39546257,17.17295415
07093,1,-92.4720058,16.83318847
07101,11,-93.13728498,16.73944663
07102,1,-92.19867824,14.89410615
07104,1,-92.24643996,16.12408314
07106,2,-92.60789686,16.31731243
07107,3,-93.23025415,16.07734699
07108,5,-93.37550681,16.3461952
07111,2,-92.78198098,16.72191589
07114,1,-90.5625088,16.28183601
07115,1,-91.24859487,16.19919393
07116,1,-90.74342293,16.24635014
08001,1,-106.38069205,30.4492369
08004,1,-105.82353824,28.58222418
08008,2,-107.69329649,26.94545012
08012,1,-107.06325055,27.8101458
08013,1,-108.20229342,30.19391943
08017,5,-106.94869369,28.72346977
08019,21,-106.23252587,29.00055223
08021,1,-105.4918591,28.11949156
08024,1,-106.34955111,28.32120104
08027,2,-107.24776485,27.15044174
08029,2,-107.0339368,26.16798031
08030,1,-108.27405648,27.39095142
08037,39,-106.56411342,31.44966528
08050,1,-107.72906146,30.5328491
08063,1,-108.08482775,28.71477463
08066,1,-108.50655602,27.86164045
09002,9,-99.18210694,19.48532861
09003,8,-99.15037635,19.32666725
09004,1,-99.31072853,19.3246343
09005,25,-99.11586421,19.50406521
09006,6,-99.0943298,19.3969119
09007,44,-99.05679896,19.34916632
09008,6,-99.26841291,19.2689765
09009,7,-99.05109542,19.1394566
09010,9,-99.24681971,19.33617556
09011,11,-99.00282162,19.27699838
09012,22,-99.2062208,19.19833968
09013,22,-99.0903636,19.24514505
09014,7,-99.16113466,19.38064242
09015,17,-99.14905576,19.43137343
09016,14,-99.20456691,19.42806236
09017,7,-99.0931058,19.43049545
10005,9,-104.84370124,23.97048255
10007,6,-103.49063184,25.72797732
10008,2,-104.07327792,24.41267444
10012,3,-103.6858344,25.47764531
10018,1,-105.21585062,25.54902414
10024,1,-104.56162369,25.19530368
10032,2,-105.69042188,24.98415697
11002,1,-100.75196715,20.05246689
11003,2,-100.73772739,20.9252506
11004,2,-100.57352007,20.42184137
11007,19,-100.78786497,20.5375656
11009,1,-100.79112268,20.74127252
11011,2,-100.93837027,20.42911364
11012,2,-101.66800959,20.61522623
11015,3,-101.23732892,21.01845431
11017,6,-101.36832076,20.6998135
11019,1,-100.50788241,20.19710833
11020,14,-101.62240262,21.12474925
11021,1,-101.24468927,20.08431562
11022,1,-101.47299696,21.5795705
11023,1,-101.81584524,20.40161797
11028,2,-100.91513098,20.20756151
11030,1,-101.23369888,21.50320013
11031,1,-101.78851964,20.91912408
11032,1,-100.38859171,21.00232178
11035,1,-100.99408388,20.6741044
11037,1,-101.43778363,20.96311535
11039,1,-100.74149664,20.29673593
11042,2,-101.27056093,20.37832823
11044,5,-100.9925124,20.5419619
11046,1,-101.22552613,20.18315101
12001,46,-99.71430891,16.9572002
12007,1,-100.19878638,18.25261897
12017,1,-99.71366374,18.13229581
12020,2,-98.70190023,17.43262197
12022,2,-100.92990638,18.08179439
12023,1,-98.51767037,16.46196849
12028,1,-99.11235956,17.52369125
12029,5,-99.69744738,17.39083354
12035,2,-99.58211984,18.22680759
12036,1,-98.49328449,16.80173828
12046,7,-98.35281624,16.66156451
12055,2,-99.59744023,18.52004079
12056,1,-99.29488666,16.98045465
12057,2,-100.74436418,17.40594413
12061,2,-99.36746755,17.59935009
12062,5,-98.27712722,16.93906124
12064,1,-100.43502643,18.42802214
12066,5,-98.61554475,17.56217381
12068,1,-101.85495109,18.01665921
12071,1,-98.15726884,16.86942692
12077,1,-98.74501981,16.63917919
13001,2,-98.44034804,20.20642357
13003,1,-98.889691439999993,20.31454678
13005,2,-99.07802825,20.11982645
13010,3,-99.22137492,20.05474564
13013,7,-99.23137642,19.97344548
13014,1,-98.54849083,20.90605589
13015,1,-99.06019562,20.59916867
13016,3,-98.28166824,19.98430844
13018,1,-98.94967145,21.12843769
13024,1,-98.54312562,20.22590705
13027,3,-98.06408679,20.51415864
13028,1,-98.45171616,21.1272351
13029,2,-99.68073437,20.38381711
13030,1,-99.20132324,20.53251507
13037,1,-98.80965292,20.56544656
13039,1,-98.65883191,20.14035542
13041,1,-99.18072622,20.22385342
13048,6,-98.78223052,20.10208401
13051,4,-98.72017324,20.05865871
13052,1,-98.94003559,20.09557477
13059,2,-99.63243188,20.53926327
13060,1,-98.21083288,20.34335814
13061,1,-98.49478529,19.81553973
13063,2,-99.36350111,19.90266681
13065,1,-99.15182643,20.114407
13067,2,-99.29328099,20.17886959
13069,9,-98.96118415,19.85252666
13072,1,-98.58693202,19.83519921
13073,1,-98.64818253,21.03183491
13074,1,-99.23099148,20.09620421
13076,4,-99.3767425,20.06412923
13077,1,-98.35093969,20.12360121
13080,1,-98.38351714,20.91624987
13081,1,-98.58672605,20.65074738
13083,3,-98.67233409,19.9231304
13084,1,-99.36572672,20.75287884
14001,1,-102.90915877,20.7700527
14002,2,-103.60884568,20.42849351
14006,2,-104.08054327,20.5416639
14009,1,-103.67901414,20.75497256
14015,1,-104.31215641,19.74346644
14016,1,-102.34292777,20.48882101
14018,3,-102.5232997,20.36382714
14019,1,-103.92047589,21.87465371
14021,1,-104.47016115,19.60294869
14022,3,-104.61494752,19.27737715
14023,1,-103.51033691,19.71077367
14024,1,-103.82445925,20.39035318
14029,1,-103.02871681,20.95240229
14030,3,-103.18791124,20.25986033
14033,1,-102.16779024,20.44789177
14034,1,-104.08162208,19.91241507
14035,2,-102.19147983,21.55570522
14037,3,-104.19512481,19.80105574
14039,29,-103.33574832,20.67621886
14042,1,-103.91621284,22.58370015
14044,6,-103.20737644,20.3916422
14046,1,-102.48933974,21.19166622
14047,1,-102.68567452,20.28013081
14048,2,-102.11986522,20.63546774
14049,1,-102.88109251,19.3295189
14050,3,-103.41718129,20.31451142
14051,1,-103.13521134,20.48171971
14053,3,-101.87965657,21.49401266
14055,1,-104.03076976,20.90825221
14059,1,-103.07253401,19.89423914
14061,3,-103.99442751,22.22244116
14063,6,-102.72405062,20.39744147
14067,8,-105.14914563,20.69785937
14068,2,-104.72284265,19.80719022
14070,17,-103.24545725,20.53902526
14072,1,-102.02345802,20.97012189
14077,1,-103.90513653,20.44992064
14078,1,-102.37964219,20.99259447
14082,2,-103.59464392,19.86176203
14083,3,-103.68219357,20.60742028
14086,1,-103.7654714,19.94823865
14093,2,-102.72084288,20.81484228
14094,5,-103.78096192,21.11246072
14096,3,-103.07107255,20.11962202
14097,24,-103.41736734,20.47869601
14098,11,-103.34785522,20.59148137
14101,8,-103.2143447,20.62005309
14104,1,-103.47857421,21.95891053
14108,1,-103.45726437,19.47902982
14109,1,-101.99718323,21.15467802
14114,1,-103.70885689,20.38964587
14120,13,-103.49421,20.79490429
